Date,野村鴻運,野村鴻利,野村台灣運籌,野村鴻揚貨幣市場,野村環球-新臺幣計價,野村積極成長,野村全球品牌,野村成長,野村高科技,野村平衡,野村ｅ科技,野村精選貨幣市場,野村中小,野村優質,野村泰國,野村新馬,野村貨幣市場,野村全球高股息累積型新臺幣計價,野村鑫全球債券組合,野村鑫平衡組合,野村台灣高股息,野村歐洲高股息累積型,野村全球不動產證券化累積型新臺幣計價,野村亞太高股息累積型新臺幣計價,野村全球生技醫療,野村全球氣候變遷,野村新興傘型之中東非洲,野村新興傘型之大俄羅斯,野村中國機會,野村全球美元投資級公司債-累積型新臺幣計價,野村巴西,野村新興高收益債組合-累積型,野村雙印傘型之印度潛力,野村雙印傘型之印尼潛力,野村亞太複合高收益債-累積型新臺幣計價,野村環球高收益債-累積類型新臺幣計價,野村歐洲中小成長-新臺幣計價,野村多元資產動態平衡-累積類型新臺幣計價,野村美利堅高收益債-累積類型新臺幣計價,野村日本領先,野村全球短期收益-新臺幣計價,野村多元收益平衡-累積類型新臺幣計價
2006/12/29,8.32,10.75,14.63,15.8314,10.43,5.26,15.33,12.02,6.05,9.79,11.05,11.3335,20.39,17,15.59,11.35,15.0692,16.51,10.3446,13.27,11.57,13.79,13.35,11.23,,,,,,,,,,,,,,,,,,
2007/1/2,8.41,10.78,14.71,15.8341,10.44,5.28,15.35,12.11,6.12,9.81,11.19,11.3352,20.59,17.14,,11.29,15.0716,16.57,10.3094,13.28,11.65,13.96,13.33,11.2,,,,,,,,,,,,,,,,,,
2007/1/3,8.57,10.8,14.72,15.8347,10.44,5.32,15.33,12.25,6.22,9.8,11.45,11.3357,21.01,17.26,15.25,11.49,15.0722,16.55,10.3331,13.3,11.61,13.93,13.29,11.17,,,,,,,,,,,,,,,,,,
2007/1/4,8.64,10.85,14.75,15.8354,10.41,5.37,15.25,12.35,6.27,9.84,11.57,11.3361,21.24,17.39,14.87,11.47,15.0728,16.46,10.3497,13.28,11.57,13.82,13.26,11.09,,,,,,,,,,,,,,,,,,
2007/1/5,8.53,10.78,14.62,15.8361,10.32,5.34,15.17,12.26,6.2,9.81,11.46,11.3365,20.99,17.19,14.44,11.51,15.0734,16.32,10.3508,13.24,11.55,13.74,13.19,11.09,,,,,,,,,,,,,,,,,,
2007/1/8,8.3,10.66,14.49,15.838,10.31,5.24,15.12,12.03,6.01,9.75,11.1,11.3378,20.38,16.83,14.58,11.41,15.0751,16.28,10.3434,13.18,11.49,13.7,13.12,10.99,,,,,,,,,,,,,,,,,,
2007/1/9,8.43,10.69,14.6,15.8387,10.36,5.31,15.2,12.16,6.08,9.8,11.24,11.3383,20.67,16.9,14.32,11.48,15.0757,16.36,10.3411,13.19,11.61,13.78,13.23,11.06,,,,,,,,,,,,,,,,,,
2007/1/10,8.5,10.64,14.55,15.8394,10.33,5.35,15.17,12.26,6.1,9.78,11.31,11.3387,20.89,16.8,14.44,11.34,15.0763,16.29,10.3314,13.19,11.56,13.68,13.23,10.93,,,,,,,,,,,,,,,,,,
2007/1/11,8.35,10.55,14.23,15.84,10.39,5.25,15.31,12.05,6.02,9.66,11.14,11.3391,20.54,16.54,14.63,11.65,15.0769,16.39,10.3165,13.16,11.39,13.81,13.29,10.95,,,,,,,,,,,,,,,,,,
2007/1/12,8.43,10.68,14.44,15.8407,10.4,5.31,15.34,12.19,6.12,9.72,11.29,11.3396,20.71,16.8,14.81,11.77,15.0775,16.42,10.309,13.2,11.52,13.83,13.36,11.04,,,,,,,,,,,,,,,,,,
